,td_current_mm,wear_rate_mm_10000km,remaining_life_km,predicted_life_km,cost_per_1000km,vehicle_weight_kg,rolling_resistance,noise_db,mileage_km
td_current_mm,1.0,-0.3944706039252385,0.791898618458609,0.4693048572353524,-0.355209275787679,-0.04745548748715722,-0.0057862448368914176,-0.0407832234567978,-0.7962589015407785
wear_rate_mm_10000km,-0.3944706039252385,1.0,-0.7741807021491388,-0.881547850275531,0.702465371261298,0.13324590575986728,-0.005717475349804631,0.08678912496736066,-0.036070887159126874
remaining_life_km,0.791898618458609,-0.7741807021491388,1.0,0.8850325102538643,-0.631334356892819,-0.1048508293994236,-0.0023037465830444193,-0.08417121973691706,-0.44212864957092174
predicted_life_km,0.4693048572353524,-0.881547850275531,0.8850325102538643,1.0,-0.730301183042545,-0.12565745390311384,-0.0016354368881508967,-0.09248455721929674,0.026258973144421435
cost_per_1000km,-0.355209275787679,0.702465371261298,-0.631334356892819,-0.730301183042545,1.0,0.18314406479252987,0.0024177915278928543,0.03269075345385214,-0.051399980294191044
vehicle_weight_kg,-0.04745548748715722,0.13324590575986728,-0.1048508293994236,-0.12565745390311384,0.18314406479252987,1.0,0.017452351430279484,0.004062599585800198,-0.016957015395887964
rolling_resistance,-0.0057862448368914176,-0.005717475349804631,-0.0023037465830444193,-0.0016354368881508967,0.0024177915278928543,0.017452351430279484,1.0,-0.011441150485537309,0.0017959009704114118
noise_db,-0.0407832234567978,0.08678912496736066,-0.08417121973691706,-0.09248455721929674,0.03269075345385214,0.004062599585800198,-0.011441150485537309,1.0,0.0025519759120332204
mileage_km,-0.7962589015407785,-0.036070887159126874,-0.44212864957092174,0.026258973144421435,-0.051399980294191044,-0.016957015395887964,0.0017959009704114118,0.0025519759120332204,1.0
